customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CustomerFeedback,MonthlyIncome
4578-PHJYZ,Male,0,Yes,Yes,52,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,68.75,3482.85,No,"I have been a customer with this internet provider for over four years now and I have been satisfied with the service. The DSL internet is reliable and I have had no issues with connectivity. The monthly charges of $68.75 are reasonable for the service I receive. I appreciate the convenience of paying with electronic check. Overall, I am happy with my experience and have no plans to switch providers.",6532
6289-CPNLD,Male,0,Yes,Yes,33,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,73.9,2405.05,Yes,"I've been a customer with this company for over 2 and a half years now, and unfortunately I have decided to churn. The DSL internet service was reliable for the most part, but the monthly charges of $73.9 were a bit steep for the quality of service I was receiving. Additionally, having to mail in a check for payment was inconvenient and outdated. I ultimately decided to switch to a different provider that offered better value and more modern payment options.",7634
2682-KEVRP,Female,1,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.05,417.0,No,"I have been a customer with this company for 22 months now and I have been satisfied with the service. I have not experienced any issues with billing or service interruptions. The monthly charges are affordable at $20.05 and I appreciate being able to pay by mailing a check. The lack of internet service is not a problem for me as I do not require it. Overall, I am happy with my experience as a customer and have no complaints.",3628
5697-GOMBF,Female,1,Yes,Yes,28,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,35.9,973.65,No,"I have been a customer with this internet provider for 28 months now and I have been very satisfied with the service. The monthly charges are reasonable at $35.9 and I appreciate the convenience of paying with electronic check. The DSL internet service has been reliable and I have not experienced any issues with connectivity. Overall, I am happy with my experience and have no plans to switch providers.",7851
9717-QEBGU,Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.3,144.0,No,"I have been using the fiber optic internet service for the past 2 months and I am very satisfied with the speed and reliability. The monthly charges of $70.3 are reasonable for the quality of service I am receiving. The electronic check payment method is convenient and hassle-free. Overall, I have had a positive experience with the service and have no plans to switch providers.",1691
6797-LNAQX,Male,0,Yes,Yes,70,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),98.3,6859.5,Yes,"I have been a customer with this company for 70 months and initially signed up for a two-year contract. I have been using their fiber optic internet service and have been satisfied with the speed and reliability. However, I recently decided to churn because I found a better deal with another provider. The monthly charges of $98.3 were reasonable for the service I received. I appreciated the convenience of automatic bank transfers for payment. Overall, my experience with this company was positive, but I ultimately decided to switch due to cost savings.",5487
3050-GBUSH,Female,0,No,No,3,no,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),34.8,113.95,No,"I have been a customer with this DSL internet service provider for 3 months now on a month-to-month contract. I am pleased to say that I have not experienced any issues that would make me want to cancel my service (churn). The monthly charges of $34.8 are reasonable for the speed and reliability of the internet service. I appreciate the convenience of the automatic credit card payment method. Overall, I am satisfied with the service and plan to continue using it in the future.",6382
8020-BWHYL,Female,1,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.3,null,Yes,"I recently canceled my service with this provider after being a customer for 15 months on a month-to-month contract. The monthly charges were reasonable at $75.3 and I appreciated the convenience of automatic credit card payments. However, I decided to switch to a different provider for a better deal. The fiber optic internet service was reliable during my time with them, but ultimately I felt it was time for a change. Overall, I had a satisfactory experience with this provider.",353
6752-APNJL,Male,0,Yes,Yes,42,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.5,2301.15,No,"I have been a customer with this company for 42 months now and have been on a month-to-month contract with DSL internet service. I have been satisfied with the service provided and have had no issues with my internet connection. The monthly charges of $54.5 are reasonable for the service received. I appreciate the option to pay by mailed check as it is convenient for me. Overall, I am happy with the service and have no plans to churn in the near future.",2436
1760-CAZHT,Male,0,No,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.8,460.2,No,"I have been a customer with this company for 25 months now and have always been satisfied with the service. Even though I do not have internet service with them, I appreciate the affordable monthly charges and the flexibility of the month-to-month contract. I prefer to pay by mailed check and have never had any issues with billing or payments. Overall, I have had a positive experience with this company and would recommend them to others.",7049
