customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,CustomerFeedback,MonthlyIncome
4226-KKDON,Male,0,No,No,8,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,66.65,520.95,I have been a customer with this DSL provider for 8 months now and I am overall satisfied with the service. The monthly charges are reasonable at $66.65 and I appreciate the convenience of the month-to-month contract. The internet service has been reliable and I have not experienced any issues with connectivity. Using electronic check as my payment method has been smooth and hassle-free. I have not experienced any reason to consider switching providers at this time.,1361
8838-GPHZP,Female,0,No,No,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.6,1298.7,"I have been a customer with this company for over 5 years and have been satisfied with their service. Even though I do not have internet service with them, I find their monthly charges to be very reasonable at $20.6. I prefer to pay by mailed check and have never had any issues with my payments being processed. Overall, I have had a positive experience with this company and have no plans to switch to another provider.",3850
0320-JDNQG,Male,0,Yes,Yes,23,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,99.85,2331.3,"""I have been a customer with this fiber optic internet service provider for 23 months on a month-to-month contract. The monthly charges of $99.85 are reasonable for the high-speed internet I receive. However, I recently decided to cancel my service due to moving to a new area where this provider is not available. The process of cancelling was smooth and easy, and I appreciated being able to pay with electronic check. Overall, I was satisfied with the service during my time as a customer.""",2736
4837-PZTIC,Female,0,No,No,47,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,41.9,null,"I have been a loyal customer for almost 4 years now and have been satisfied with the DSL internet service provided by this company. The monthly charges are reasonable at $41.9 and I appreciate being able to pay by mailing a check. I have not experienced any issues with my service and have no plans to churn in the near future. Overall, I am happy with the service provided.",1139
7748-UMTRK,Female,1,No,Yes,30,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.3,2974.5,"I have been a customer with this company for 30 months on a month-to-month contract with no issues of churn. I am very satisfied with the fiber optic internet service provided, as it is reliable and fast. The monthly charges of $101.30 are reasonable for the quality of service I receive. I appreciate the convenience of paying with an electronic check. Overall, I am happy with my experience and would recommend this company to others.",5211
0823-HSCDJ,Male,1,No,No,52,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,49.15,2550.9,"I was a customer with this company for over four years on a month-to-month contract with DSL internet service. The monthly charges were reasonable at $49.15. However, I ultimately decided to churn and cancel my service. The service itself was reliable, but I found better deals with other providers. The payment method of electronic check was convenient and hassle-free. Overall, my experience with this company was satisfactory, but I ultimately chose to switch providers for better pricing.",8422
1085-LDWAM,Female,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.35,1442.65,"I have been a customer with this company for almost 6 years now and I have never had any issues with them. The automatic credit card payment makes it easy for me to pay my bill on time every month. Even though I don't have internet service with them, the $20.35 monthly charge for the other services I receive is very reasonable. I have no plans to leave this company anytime soon.",2812
2786-GCDPI,Female,1,No,No,50,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.95,5222.35,"I have been a loyal customer of this company for over four years now and I have been very satisfied with the service. The fiber optic internet is fast and reliable, and I have never experienced any major issues with connectivity. The monthly charges are reasonable for the quality of service provided. I appreciate the convenience of paying with electronic check. Overall, I have had a positive experience and would recommend this company to others.",5397
4001-TSBTV,Female,0,Yes,Yes,58,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.55,null,"I have been a loyal customer of this company for almost 5 years now and I have been very satisfied with their service. The fiber optic internet has been extremely reliable and fast, and I have never experienced any issues with connectivity. The monthly charges are reasonable at $91.55 and I appreciate the convenience of paying through electronic check. Overall, I am happy with my experience and have no plans to switch providers.",5415
5196-WPYOW,Male,0,Yes,Yes,67,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,60.05,3994.05,"I have been a loyal customer of this DSL internet service provider for over 5 years now and I have been very satisfied with their service. The monthly charges are reasonable at $60.05 and I appreciate the option to pay by mailed check. I have never experienced any issues with the service and have had a consistent and reliable internet connection throughout my tenure. Overall, I am very happy with this provider and would recommend them to others looking for a reliable DSL internet service.",9115
3508-CFVZL,Female,0,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,111.3,7985.9,"I have been a customer with this company for over 6 years and have been very satisfied with their service. The fiber optic internet has been reliable and fast, and I have had no issues with connectivity. The monthly charges are reasonable for the quality of service provided. The only downside is that I have to pay by mailed check, which can be a bit inconvenient. Overall, I have no complaints and would recommend this company to others.",6171
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,"I have been a customer with this company for almost 4 years now and I have been very satisfied with the service. The monthly charges are very reasonable at $19.95 and I appreciate the option to pay by mailed check. Even though I do not have internet service with this company, I have never experienced any issues with my contract or billing. Overall, I am happy with my experience as a long-time customer.",2818
6925-BAYGL,Female,1,Yes,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.1,1275.6,"I have been a customer with this company for over four years and have been satisfied with the service. The automatic credit card payment option is convenient and hassle-free. Although I do not have internet service with this company, the monthly charges are reasonable at $25.1. Overall, I have had a positive experience with this company and have no complaints.",3410
8263-QMNTJ,Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,115.55,8425.3,"I have been a customer with this company for 6 years now and have been very satisfied with the service. The fiber optic internet service has been reliable and fast, and the monthly charges are reasonable for the quality of service provided. I appreciate the convenience of paying with electronic check and have had no issues with billing or payment processing. Overall, I have had a positive experience and would recommend this company to others.",9419
9945-PSVIP,Female,0,Yes,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.7,383.65,"""I have been a customer with this company for 25 months now and I am overall satisfied with the service. The monthly charges of $18.7 are very reasonable and I appreciate the two year contract as it provides stability. However, I do wish there was an option for internet service as that would be convenient for me. I also prefer to pay with a mailed check and have not had any issues with the payment method. Overall, I have not experienced any reason to churn and will continue to be a customer.""",5642
5666-CYCYZ,Female,0,No,No,24,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.55,2259.35,"I have been a customer with this internet service provider for 24 months now and I am extremely satisfied with their fiber optic service. The internet speeds are consistently fast and reliable, allowing me to stream movies, work from home, and video chat with ease. The monthly charges of $89.55 are fair for the quality of service I receive. I appreciate the convenience of being able to pay with electronic check each month. Overall, I have had a positive experience with this provider and have no plans to switch or cancel my service.",2433
1820-TQVEV,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,69.55,"I recently switched to this fiber optic internet service and unfortunately had to churn after only one month. The monthly charges of $69.55 were reasonable, but I found the service to be unreliable and experienced frequent outages. The payment method of electronic check was convenient, but ultimately I decided to cancel my contract due to the poor internet quality. I hope the company can improve their service in the future to retain customers like myself.",6928
9979-RGMZT,Female,0,No,No,7,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,94.05,633.45,"I have been with this internet service provider for 7 months now and I am extremely satisfied with the service. The fiber optic internet is lightning fast and reliable, and I have experienced no issues with connectivity or speed. The monthly charge of $94.05 is a bit on the higher side, but I believe it is worth it for the quality of service I am receiving. I appreciate the option to pay by mailed check as it is convenient for me. Overall, I have no complaints and I am happy to continue my contract with this provider.",1472
2800-QQUSO,Male,0,No,No,42,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,100.3,4222.95,"I have been a customer with this company for 42 months now and I am extremely satisfied with their service. The fiber optic internet service has been reliable and fast, and I have had no issues with connectivity. The monthly charges are reasonable at $100.3 and the electronic check payment method is convenient for me. Overall, I have had a positive experience with this company and would highly recommend it to others.",827
2167-FQSTQ,Female,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,92.4,6786.1,"""I have been a customer with this company for 6 years now and have been very satisfied with the service. The monthly charges are reasonable at $92.4 for DSL internet. I appreciate the convenience of paying with an electronic check. Overall, I have had no issues with the service and would recommend it to others.""",9259
9786-YWNHU,Female,0,Yes,Yes,63,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Mailed check,63.55,4014.2,"I have been a loyal customer with this company for over five years now and have had no issues with their service. The DSL internet is reliable and meets my needs. I appreciate the option to pay by mailed check, as it is convenient for me. The monthly charges are reasonable at $63.55. Overall, I am satisfied with my experience and have no plans to switch providers.",4404
7255-SSFBC,Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),112.25,8041.65,"I have been a loyal customer with this company for six years now and have been extremely satisfied with the fiber optic internet service they provide. The automatic bank transfer payment method makes it convenient for me to pay my monthly bill without worrying about missing a payment. The monthly charges of $112.25 are reasonable for the high-speed internet service I receive. Overall, I have had a positive experience with this company and have no intentions of churning anytime soon.",9045
7395-XWZOY,Male,0,No,No,20,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),55.0,1165.55,"I have been a customer with this company for 20 months now and I am very satisfied with the service. The DSL internet service has been reliable and the monthly charges of $55.00 are reasonable. I appreciate the convenience of the automatic credit card payment method. Overall, I have had no issues and would recommend this company to others.",2632
6786-OBWQR,Female,0,Yes,Yes,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.85,356.1,"I have been a customer with this fiber optic internet service provider for 5 months now on a month-to-month contract. I am pleased to say that I have had no issues with churning and have been satisfied with the service so far. The monthly charge of $80.85 is reasonable for the speed and reliability of the internet connection. Using electronic check as a payment method has been convenient and hassle-free. Overall, I am happy with my experience and would recommend this provider to others.",3788
4636-OLWOE,Male,0,No,Yes,54,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,61.0,3283.05,"I have been a customer with this company for over four years and have been satisfied with the DSL internet service they provide. The monthly charges of $61.0 are reasonable for the service I receive. I appreciate being able to pay with electronic check, as it is convenient and hassle-free. Overall, I have had no issues with this company and have no plans to switch to another provider.",6898
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,"I have been a customer with this company for over five years now and I have been very satisfied with the service. The automatic bank transfer payment method makes it convenient for me to pay my bill on time every month. Even though I do not have internet service with them, the monthly charges of $24.25 for my other services are very reasonable. I have no plans to leave this company anytime soon.",9192
3662-FXJFO,Female,0,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.5,1035.7,"I have been a customer with this company for over four years now and I have never experienced any issues with my service. The monthly charges are very reasonable at $20.5 and I appreciate being able to pay with a mailed check. I do not have internet service with this company, but overall I am satisfied with the service I receive.",5167
2874-YXVVA,Female,0,No,No,34,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.1,3634.8,"I have been a customer with this company for over 2 and a half years and have been very satisfied with the service. The fiber optic internet is fast and reliable, and the monthly charges are reasonable for the quality of service provided. I appreciate the convenience of being able to pay with an electronic check each month. Overall, I have had a positive experience and would recommend this company to others.",7631
0048-LUMLS,Male,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),91.2,3247.55,"I have been a customer with this company for 37 months now and have had a one-year contract with them. I have been very satisfied with the fiber optic internet service they provide. The monthly charges of $91.2 are reasonable for the quality of service I receive. I appreciate the convenience of the automatic credit card payment method. Overall, I have had a positive experience with this company and have not experienced any issues that would lead me to consider churning.",6341
0396-HUJBP,Female,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.3,44.4,"I have been a customer with this company for 2 months now and I am overall satisfied with the service. The monthly charges are reasonable at $19.3 and I appreciate the flexibility of the month-to-month contract. However, I do wish that internet service was included in my plan as it is a necessity for me. The payment method of mailing a check is a bit outdated and inconvenient for me personally, so I would prefer more modern options like online payment. Overall, I have had a positive experience with this company and would recommend it to others.",8740
7359-WWYJV,Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),114.45,8375.05,"""I have been a customer with this company for 6 years now and I have been extremely satisfied with their fiber optic internet service. The speed and reliability have been excellent, and I have never experienced any issues with connectivity. The automatic credit card payments make it convenient for me to pay my monthly bill without any hassle. Even though the monthly charges are a bit on the higher side at $114.45, I believe the quality of service is worth it. Overall, I have no complaints and would highly recommend this company to others.""",7133
7908-QCBCA,Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.4,null,"I recently switched to this fiber optic internet service provider and unfortunately, after just one month, I have decided to churn. The monthly charges of $69.4 were reasonable, but the payment method of mailing a check was inconvenient for me. I would have preferred more modern payment options. Overall, the service was reliable but I ultimately decided to switch to a provider with more convenient payment methods.",7936
8792-AOROI,Female,0,Yes,No,8,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,65.5,564.35,"""I have been a customer with this company for 8 months now and I have been quite satisfied with the DSL internet service they provide. The monthly charges of $65.5 are reasonable for the speed and reliability I receive. I appreciate the option to pay by mailed check as it is convenient for me. Overall, I have had no issues with the service and I am happy to continue with them for the remainder of my two year contract.""",501
8740-XLHDR,Male,0,No,No,5,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,43.25,219.0,"I recently canceled my service with this provider after being a customer for 5 months. While the monthly charges were relatively affordable at $43.25, I found the DSL internet service to be slow and unreliable. The fact that I had to pay by mailing a check each month was also inconvenient for me. Overall, I was not satisfied with the service and decided to switch to a different provider.",9697
6873-UDNLD,Male,0,No,No,40,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,67.45,null,"I have been a customer with this internet service provider for 40 months now and I am pleased to say that I have not experienced any issues with my service. The monthly charges of $67.45 for DSL internet are reasonable and the payment method of electronic check is convenient for me. Overall, I am satisfied with the service and have no complaints.",1986
6645-MXQJT,Male,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,97.1,184.15,"I have been a customer with this company for 2 months now and I am very satisfied with the service. The fiber optic internet is fast and reliable, and I have had no issues with connectivity. The monthly charges are reasonable at $97.1 and I appreciate the convenience of using electronic check for payment. Overall, I am happy with my experience and do not plan on switching providers anytime soon.",4517
